LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME_OF_PROD,VALUE_PROD,Flag Codes
KOR,OILPROD,TOT,KTOE,A,2010,54.053,
KOR,OILPROD,TOT,KTOE,A,2011,39.775,
KOR,OILPROD,TOT,KTOE,A,2012,36.715,
KOR,OILPROD,TOT,KTOE,A,2013,39.775,
KOR,OILPROD,TOT,KTOE,A,2014,27.537,
KOR,OILPROD,TOT,KTOE,A,2015,16.318,
KOR,OILPROD,TOT,KTOE,A,2016,15.298,
KOR,OILPROD,TOT,KTOE,A,2017,30.596,
LUX,OILPROD,TOT,KTOE,A,2000,0,
LUX,OILPROD,TOT,KTOE,A,2001,0,
LUX,OILPROD,TOT,KTOE,A,2002,0,
LUX,OILPROD,TOT,KTOE,A,2003,0,
LUX,OILPROD,TOT,KTOE,A,2004,0,
LUX,OILPROD,TOT,KTOE,A,2005,0,
LUX,OILPROD,TOT,KTOE,A,2006,0,
LUX,OILPROD,TOT,KTOE,A,2007,0,
LUX,OILPROD,TOT,KTOE,A,2008,0,
LUX,OILPROD,TOT,KTOE,A,2009,0,
LUX,OILPROD,TOT,KTOE,A,2010,0,
LUX,OILPROD,TOT,KTOE,A,2011,0,
LUX,OILPROD,TOT,KTOE,A,2012,0,
LUX,OILPROD,TOT,KTOE,A,2013,0,
LUX,OILPROD,TOT,KTOE,A,2014,0,
LUX,OILPROD,TOT,KTOE,A,2015,0,
LUX,OILPROD,TOT,KTOE,A,2016,0,
LUX,OILPROD,TOT,KTOE,A,2017,0,
MEX,OILPROD,TOT,KTOE,A,2000,159630.01,
MEX,OILPROD,TOT,KTOE,A,2001,164934.738,
MEX,OILPROD,TOT,KTOE,A,2002,170364.264,
MEX,OILPROD,TOT,KTOE,A,2003,185930.985,
MEX,OILPROD,TOT,KTOE,A,2004,189801.468,
MEX,OILPROD,TOT,KTOE,A,2005,185013.684,
MEX,OILPROD,TOT,KTOE,A,2006,178024.223,
MEX,OILPROD,TOT,KTOE,A,2007,168043.027,
MEX,OILPROD,TOT,KTOE,A,2008,158180.615,
MEX,OILPROD,TOT,KTOE,A,2009,146731.525,
MEX,OILPROD,TOT,KTOE,A,2010,144975.463,
MEX,OILPROD,TOT,KTOE,A,2011,142889.883,
MEX,OILPROD,TOT,KTOE,A,2012,142421.594,
MEX,OILPROD,TOT,KTOE,A,2013,139529.408,
MEX,OILPROD,TOT,KTOE,A,2014,134435.57,
MEX,OILPROD,TOT,KTOE,A,2015,121586.809,
MEX,OILPROD,TOT,KTOE,A,2016,115851.494,
MEX,OILPROD,TOT,KTOE,A,2017,104778.875,
NLD,OILPROD,TOT,KTOE,A,2000,1471.675,
NLD,OILPROD,TOT,KTOE,A,2001,1397.225,
NLD,OILPROD,TOT,KTOE,A,2002,2276.354,
NLD,OILPROD,TOT,KTOE,A,2003,2349.785,
NLD,OILPROD,TOT,KTOE,A,2004,2147.85,
NLD,OILPROD,TOT,KTOE,A,2005,1521.649,
NLD,OILPROD,TOT,KTOE,A,2006,1374.787,
NLD,OILPROD,TOT,KTOE,A,2007,2109.095,
NLD,OILPROD,TOT,KTOE,A,2008,1765.398,
NLD,OILPROD,TOT,KTOE,A,2009,1338.072,
NLD,OILPROD,TOT,KTOE,A,2010,1040.269,
NLD,OILPROD,TOT,KTOE,A,2011,1102.482,
NLD,OILPROD,TOT,KTOE,A,2012,1133.078,
NLD,OILPROD,TOT,KTOE,A,2013,1144.296,
NLD,OILPROD,TOT,KTOE,A,2014,1555.305,
NLD,OILPROD,TOT,KTOE,A,2015,1423.741,
NLD,OILPROD,TOT,KTOE,A,2016,976.017,
NLD,OILPROD,TOT,KTOE,A,2017,959.7,
NZL,OILPROD,TOT,KTOE,A,2000,1681.292,
NZL,OILPROD,TOT,KTOE,A,2001,1575.327,
NZL,OILPROD,TOT,KTOE,A,2002,1428.163,
NZL,OILPROD,TOT,KTOE,A,2003,1110.776,
NZL,OILPROD,TOT,KTOE,A,2004,959.685,
NZL,OILPROD,TOT,KTOE,A,2005,885.6,
NZL,OILPROD,TOT,KTOE,A,2006,878.118,
NZL,OILPROD,TOT,KTOE,A,2007,1959.155,
NZL,OILPROD,TOT,KTOE,A,2008,2839.03,
NZL,OILPROD,TOT,KTOE,A,2009,2683.494,
NZL,OILPROD,TOT,KTOE,A,2010,2574.596,
NZL,OILPROD,TOT,KTOE,A,2011,2204.631,
NZL,OILPROD,TOT,KTOE,A,2012,1925.318,
NZL,OILPROD,TOT,KTOE,A,2013,1650.557,
NZL,OILPROD,TOT,KTOE,A,2014,1838.825,
NZL,OILPROD,TOT,KTOE,A,2015,1934.951,
NZL,OILPROD,TOT,KTOE,A,2016,1640.305,
NZL,OILPROD,TOT,KTOE,A,2017,1476.795,
NOR,OILPROD,TOT,KTOE,A,2000,164121.159,
NOR,OILPROD,TOT,KTOE,A,2001,158958.377,
NOR,OILPROD,TOT,KTOE,A,2002,155340.067,
NOR,OILPROD,TOT,KTOE,A,2003,149237.163,
NOR,OILPROD,TOT,KTOE,A,2004,138970.081,
NOR,OILPROD,TOT,KTOE,A,2005,126334.158,
NOR,OILPROD,TOT,KTOE,A,2006,116432.119,
NOR,OILPROD,TOT,KTOE,A,2007,112513.401,
NOR,OILPROD,TOT,KTOE,A,2008,107727.794,
NOR,OILPROD,TOT,KTOE,A,2009,101051.044,
NOR,OILPROD,TOT,KTOE,A,2010,86646.227,
NOR,OILPROD,TOT,KTOE,A,2011,82733.718,
NOR,OILPROD,TOT,KTOE,A,2012,74404.786,
NOR,OILPROD,TOT,KTOE,A,2013,71616.531,
NOR,OILPROD,TOT,KTOE,A,2014,74740.193,
NOR,OILPROD,TOT,KTOE,A,2015,76377.041,
NOR,OILPROD,TOT,KTOE,A,2016,80469.074,
NOR,OILPROD,TOT,KTOE,A,2017,79303.908,
POL,OILPROD,TOT,KTOE,A,2000,661.297,
POL,OILPROD,TOT,KTOE,A,2001,779.897,
